model,term,estimate,std_error,odds_ratio,ci_low,ci_high,p_value
Model 1,(Intercept),0.7237243745149293,0.12713532636750186,2.0620989555277376,1.6072806499586283,2.6456189231781275,1.2666310899856826e-8
Model 1,edu_groupMedium (16-19),0.4653181538601186,0.07516023786261859,1.5925207749285384,1.3743855995686367,1.8452772055927953,6.07791076834649e-10
Model 1,edu_groupHigh (20+),0.9101253159694846,0.08043839840593647,2.48463387817943,2.1222332459291806,2.9089194227065485,1.3287207665177237e-29
Model 1,edu_groupStill studying,1.1014173000537137,0.13949032137644152,3.0084268473329043,2.2887854231603413,3.954338403316262,3.006471501371537e-15
Model 1,edu_groupNo full-time education,0.10603162008293632,0.3223514047911334,1.1118570329622985,0.5911026880204971,2.091389680340716,0.7422102208148466
Model 1,age,-0.009639921862885283,0.0015063938954831234,0.9904063932397412,0.9874865528718262,0.9933348671103095,1.590303914283298e-10
Model 1,gender_fWoman,-0.2551457852033336,0.047112018649871114,0.7748035348362352,0.7064635680495179,0.8497543889660947,6.16461026186932e-8
Model 1,precarityFrom time to time,-0.27718630573605396,0.053366479514045266,0.7579132803646085,0.6826433867141395,0.8414826126391354,2.0754200729921983e-7
Model 1,precarityMost of the time,-0.6793018970042339,0.09126413434551843,0.5069707866837343,0.42393450144732037,0.6062714350288911,1.0165064289363433e-13
Model 1,community_fSmall/medium town,0.08513051258183214,0.054929163306319695,1.0888591672464112,0.9777232062498961,1.2126277442508788,0.12119748754561777
Model 1,community_fLarge town,0.21461476404655766,0.059589197611113455,1.2393843495761654,1.1027665665813438,1.3929272182564199,3.169586387527183e-4
