model,term,estimate,std_error,odds_ratio,ci_low,ci_high,p_value
Model 1,edu_groupMedium (16-19),0.4653181538601186,0.07516023786261859,1.5925207749285384,1.3743855995686367,1.8452772055927953,6.07791076834649e-10
Model 1,edu_groupHigh (20+),0.9101253159694846,0.08043839840593647,2.48463387817943,2.1222332459291806,2.9089194227065485,1.3287207665177237e-29
Model 1,edu_groupStill studying,1.1014173000537137,0.13949032137644152,3.0084268473329043,2.2887854231603413,3.954338403316262,3.006471501371537e-15
Model 1,edu_groupNo full-time education,0.10603162008293632,0.3223514047911334,1.1118570329622985,0.5911026880204971,2.091389680340716,0.7422102208148466
Model 1,age,-0.009639921862885283,0.0015063938954831234,0.9904063932397412,0.9874865528718262,0.9933348671103095,1.590303914283298e-10
Model 1,gender_fWoman,-0.2551457852033336,0.047112018649871114,0.7748035348362352,0.7064635680495179,0.8497543889660947,6.16461026186932e-8
Model 1,precarityFrom time to time,-0.27718630573605396,0.053366479514045266,0.7579132803646085,0.6826433867141395,0.8414826126391354,2.0754200729921983e-7
Model 1,precarityMost of the time,-0.6793018970042339,0.09126413434551843,0.5069707866837343,0.42393450144732037,0.6062714350288911,1.0165064289363433e-13
Model 1,community_fSmall/medium town,0.08513051258183214,0.054929163306319695,1.0888591672464112,0.9777232062498961,1.2126277442508788,0.12119748754561777
Model 1,community_fLarge town,0.21461476404655766,0.059589197611113455,1.2393843495761654,1.1027665665813438,1.3929272182564199,3.169586387527183e-4
Model 2,edu_groupMedium (16-19),0.165811535639995,0.09305138574286818,1.1803506267341823,0.9835706296630321,1.4164998018587562,0.07477581148703057
Model 2,edu_groupHigh (20+),0.38904052605807304,0.09936637844903574,1.4755643489278616,1.2144435678242198,1.7928294121790331,9.064055044837837e-5
Model 2,edu_groupStill studying,0.17984803455988563,0.23001492691766753,1.1970354412815771,0.7626371345315975,1.8788671345832721,0.43428473919228494
Model 2,edu_groupNo full-time education,0.5969327691366959,0.47385624778595115,1.8165385037732578,0.7176247991520619,4.598241503902611,0.20778089040392653
Model 2,age,0.0036943777364316097,0.0018646726367333316,1.0037012103613694,1.0000396873129975,1.0073761396287184,0.047577967961683836
Model 2,gender_fWoman,-0.1703602318571668,0.055704833915477765,0.8433609563860247,0.756131708717649,0.9406531885332489,0.0022293182956584384
Model 2,precarityFrom time to time,-0.1571682222154202,0.06421312573511782,0.8545602907002168,0.7535019778832772,0.9691723603607627,0.01439001975979737
Model 2,precarityMost of the time,-0.491845975969156,0.10868264423406111,0.6114965437419062,0.49417773235136075,0.7566670825678439,6.061202045171801e-6
Model 2,community_fSmall/medium town,0.06641293459454174,0.06525047634027477,1.0686679160191905,0.9403758445467204,1.2144624102709598,0.3087787204589878
Model 2,community_fLarge town,0.18401476987114315,0.07150316977811762,1.2020335768462307,1.0448476991191336,1.3828663460558546,0.01007453926046952
Model 2,digital_skill,0.7560127750705059,0.03397238088987017,2.1297674067940977,1.9925757171859197,2.276404940560272,2.52615409245533e-108
Model 2,ai_exposure,0.7272406230957886,0.05696223711166206,2.0693625709083947,1.8507606002695138,2.3137846403543514,3.5632243404469966e-37
Model 3,edu_groupMedium (16-19),0.031767967427860096,0.09906221870294929,1.0322779554053474,0.8501092456530996,1.2534833407172217,0.748451126965701
Model 3,edu_groupHigh (20+),0.2763813437733568,0.10663853860624382,1.3183505129394066,1.069695093737198,1.6248069988760736,0.009556008728776292
Model 3,edu_groupStill studying,0.024582513304327917,0.24240096969279082,1.0248871544440268,0.6373000761897049,1.6481932430080306,0.91922400643017
Model 3,edu_groupNo full-time education,0.7169281450803219,0.5258314943442484,2.0481319730774565,0.7307508982527016,5.740457643189284,0.17276701405507644
Model 3,age,0.0029128407993210294,0.0019174780533249794,1.0029170872421518,0.9991550100788789,1.0066933295994531,0.12875404277540708
Model 3,gender_fWoman,-0.18831144766144162,0.05640351017744127,0.8283566773033717,0.741663015331277,0.925184039986934,8.434967017441017e-4
Model 3,precarityFrom time to time,-0.07799540722567246,0.06884100461764578,0.9249686747061668,0.8082197440838231,1.0585822178317745,0.2572374549952125
Model 3,precarityMost of the time,-0.40325081780424743,0.1123034649360721,0.6681444957701123,0.5361391387286151,0.8326515170791637,3.305942460157454e-4
Model 3,community_fSmall/medium town,0.03945998474967281,0.06880235653370138,1.040248872233088,0.9090182062677075,1.1904246897597626,0.5662949766777601
Model 3,community_fLarge town,0.1615379161695624,0.07428316441121238,1.1753170208329984,1.0160733986025121,1.3595180243471237,0.029670681619703102
Model 3,digital_skill,0.7679256525747075,0.03497941840707048,2.1552907916536124,2.0124789131075222,2.308237053482442,1.653299206514679e-105
Model 3,ai_exposure,0.747087741673795,0.058407210047879965,2.1108437343808917,1.8825207694557762,2.366859023958163,2.626911888365718e-37
