term,odds_ratio,ci_low,ci_high,p_value
(Intercept),0.15835708542921284,0.11247334999234491,0.22295918550787172,5.426737437203819e-26
edu_groupMedium (16-19),1.1892858502228287,1.002862799736221,1.4103632460115787,0.046280723998078484
edu_groupHigh (20+),1.4567686879532973,1.2130785647096856,1.7494126694993173,5.6374409919886934e-5
edu_groupStill studying,2.3935693536760345,1.7547033032891852,3.2650387333960067,3.6337868597474305e-8
edu_groupNo full-time education,1.2334611045284496,0.5022281707578552,3.0293527622887675,0.647159459421395
age,1.002001899801169,0.9985804788927388,1.0054350434713395,0.25179073950210934
gender_fWoman,0.8390355039117682,0.7564679548332388,0.9306151996612537,8.995381512944538e-4
precarityFrom time to time,0.8677538442504913,0.7706101496084856,0.9771435460512319,0.01920025276963109
precarityMost of the time,0.5722426020196861,0.4695076500573511,0.697457422741165,3.256122954901673e-8
community_fSmall/medium town,1.0456751014177084,0.9266826954203335,1.1799469474596842,0.46867630519936154
community_fLarge town,1.1700169168697367,1.0248822109169002,1.3357043094119634,0.020144698020494067
digital_skill,2.109234843259242,1.9811839538076916,2.2455621122250817,3.8601015381929653e-119
ai_exposure,1.959073389043324,1.758929420576652,2.181991215087781,2.774819129169743e-34
